"feature" "class" "assembly" "assembly_unit" "seq_type" "chromosome" "genomic_accession" "start" "end" "strand" "product_accession" "non.redundant_refseq" "related_accession" "name" "symbol" "GeneID" "locus_tag" "feature_interval_length" "product_length" "attributes"
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 190 255 "+" "WP_001386572.1" "WP_001386572.1" NA "thr operon leader peptide" "" NA "P370_RS01000000122250" 66 21 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 337 2799 "+" "WP_001264707.1" "WP_001264707.1" NA "bifunctional aspartokinase I/homoserine dehydrogenase I" "" NA "P370_RS0100015" 2463 820 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 2801 3733 "+" "WP_000241662.1" "WP_000241662.1" NA "homoserine kinase" "" NA "P370_RS0100020" 933 310 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 3734 5020 "+" "WP_000781074.1" "WP_000781074.1" NA "threonine synthase" "" NA "P370_RS0100025" 1287 428 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 5234 5530 "+" "WP_000738719.1" "WP_000738719.1" NA "DUF2502 domain-containing protein" "" NA "P370_RS0100030" 297 98 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 5683 6459 "-" "WP_000906197.1" "WP_000906197.1" NA "peroxide stress protein YaaA" "" NA "P370_RS0100035" 777 258 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 6529 7959 "-" "WP_001112606.1" "WP_001112606.1" NA "transporter" "" NA "P370_RS0100040" 1431 476 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 8238 9191 "+" "WP_000130185.1" "WP_000130185.1" NA "transaldolase 1" "" NA "P370_RS0100045" 954 317 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 9306 9893 "+" "WP_001295414.1" "WP_001295414.1" NA "molybdopterin adenylyltransferase" "" NA "P370_RS0100050" 588 195 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 9928 10494 "-" "WP_000528538.1" "WP_000528538.1" NA "succinate-acetate/proton symporter SatP" "" NA "P370_RS0100055" 567 188 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 10643 11356 "-" "WP_001102367.1" "WP_001102367.1" NA "hypothetical protein" "" NA "P370_RS0100060" 714 237 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 11382 11786 "-" "WP_000843565.1" "WP_000843565.1" NA "hypothetical protein" "" NA "P370_RS0100065" 405 134 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 12163 14079 "+" "WP_000516135.1" "WP_000516135.1" NA "molecular chaperone DnaK" "" NA "P370_RS0100070" 1917 638 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 14168 15298 "+" "WP_001118476.1" "WP_001118476.1" NA "molecular chaperone DnaJ" "" NA "P370_RS0100075" 1131 376 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 15445 16557 "+" "WP_001300563.1" "WP_001300563.1" NA "IS4 family transposase" "" NA "P370_RS0100080" 1113 370 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 16751 16960 "-" "WP_000935262.1" "WP_000935262.1" NA "regulatory protein MokC" "" NA "P370_RS0100085" 210 69 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 17489 18655 "+" "WP_000681354.1" "WP_000681354.1" NA "Na+/H+ antiporter NhaA" "" NA "P370_RS0100090" 1167 388 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 18715 19620 "+" "WP_000062890.1" "WP_000062890.1" NA "transcriptional activator protein NhaR" "" NA "P370_RS0100095" 906 301 ""
"CDS" "without_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 19658 19795 "-" "" "" NA "fimbrial family protein" "" NA "P370_RS1000000124115" 138 NA "partial;pseudo"
"CDS" "without_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 19811 20508 "-" "" "" NA "IS1 family transposase" "" NA "P370_RS0100100" 698 NA "pseudo"
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 20815 21078 "-" "WP_001274021.1" "WP_001274021.1" NA "30S ribosomal protein S20" "" NA "P370_RS0100105" 264 87 ""
"CDS" "with_protein" "GCF_000482265.1" "Primary Assembly" "unplaced scaffold" NA "NZ_AYEK01000001.1" 21181 21399 "+" "WP_001300728.1" "WP_001300728.1" NA "DUF2575 domain-containing protein" "" NA "P370_RS01000000122265" 219 72 ""
